,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
322,271376,False,high,low,low,low,False,True,low,low,high,low,True,False,high,False,False,low
323,271493,False,high,high,low,low,False,True,low,low,high,high,False,False,low,False,False,low
324,272537,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
325,272538,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
326,273738,False,high,low,low,low,False,True,low,low,high,high,True,True,low,False,False,low
327,276683,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
328,278194,False,low,high,low,high,False,False,low,low,high,low,False,False,low,False,False,low
329,278635,False,high,high,high,low,False,True,low,low,high,low,False,False,low,False,False,low
330,279712,False,high,high,low,high,False,True,low,low,high,high,True,True,high,False,False,low
331,279949,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
332,280637,False,high,high,low,high,False,True,high,low,high,low,False,True,low,False,False,low
333,280638,False,high,high,low,high,False,True,high,low,high,low,False,True,low,False,False,low
334,281291,False,high,low,low,high,False,False,low,low,high,low,False,False,low,False,False,low
335,281517,False,high,low,low,high,False,False,low,low,high,low,False,False,low,False,False,low
336,281528,False,high,low,low,low,False,True,high,high,high,low,False,True,low,False,False,low
337,284854,False,high,low,low,low,False,False,low,high,high,low,False,False,low,False,False,low
338,284866,False,low,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
339,284966,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
340,285087,False,low,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
341,287715,False,high,high,low,high,False,True,high,low,high,high,True,False,low,False,False,low
342,290755,False,low,low,low,low,False,False,low,low,high,low,False,True,low,False,False,low
343,291791,False,high,low,low,low,False,True,low,high,high,low,False,False,high,False,False,low
344,291847,False,high,low,low,low,False,False,low,low,high,low,True,True,low,False,False,low
345,292007,False,high,low,low,low,False,False,low,low,high,low,True,True,low,False,False,low
