,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
141,76904,False,False,False,False,high,low,low,low,low,False,False,True,low,False,low,True,low,high,high,False,False,high,False,low,False,low
142,77830,True,True,False,False,low,high,low,low,low,True,True,True,high,False,low,True,low,high,low,False,True,high,False,low,False,low
143,77927,True,True,False,False,high,high,low,low,low,True,True,True,low,False,low,True,low,high,low,False,False,low,False,low,False,low
144,77931,False,False,False,False,high,low,low,low,low,True,False,True,high,False,low,False,low,high,high,False,True,high,False,low,False,low
145,77936,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
146,78213,False,False,False,False,high,low,low,low,high,False,False,True,low,False,low,False,low,high,low,False,False,low,False,low,False,low
147,78721,False,True,False,False,high,low,low,low,low,False,False,True,high,True,high,False,high,high,low,False,False,high,False,low,False,low
148,79517,True,False,False,False,high,low,high,low,low,True,True,True,high,True,low,True,high,high,low,False,False,low,False,low,False,low
149,79657,True,False,False,True,high,low,high,low,low,True,False,False,low,True,low,True,low,high,low,False,False,low,False,high,False,low
150,79879,True,False,False,True,high,low,low,high,low,True,False,True,high,False,high,True,high,high,low,False,False,low,False,low,False,high
151,80238,True,False,False,True,high,low,low,low,high,True,False,True,high,True,low,True,low,high,low,False,True,high,False,low,False,low
152,80393,True,False,False,False,low,high,high,high,low,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
153,80537,True,False,False,True,high,high,high,low,low,True,True,True,low,True,low,True,low,high,low,False,False,low,False,high,False,low
154,80861,True,False,False,False,high,high,low,low,high,False,False,True,low,False,high,False,low,low,high,True,False,high,False,low,False,low
155,80862,True,False,False,False,high,high,low,low,high,False,False,True,low,False,high,False,low,low,high,True,False,high,False,low,False,low
156,80878,True,False,False,False,high,high,low,low,low,True,True,True,high,True,low,True,low,high,low,False,True,high,False,high,False,low
157,81166,False,True,False,False,high,high,low,low,low,True,False,True,low,True,low,False,low,high,low,False,False,low,False,low,False,low
158,83127,True,False,True,True,high,low,low,low,low,True,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
159,83707,True,False,False,False,high,low,low,low,low,True,True,True,low,True,low,True,high,high,low,False,False,low,False,low,False,low
160,83711,True,False,False,False,low,low,low,low,low,True,True,True,low,True,low,True,high,high,low,False,False,low,False,low,False,low
161,83886,False,False,True,False,low,low,low,high,low,False,False,True,low,False,low,True,low,low,high,False,False,low,False,low,False,high
162,84503,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
163,84522,False,False,False,False,high,low,low,low,low,False,False,True,low,False,high,False,low,high,high,False,False,low,False,low,False,low
164,84557,True,True,False,False,high,high,high,low,low,True,True,True,high,True,low,True,low,high,high,False,False,low,False,low,False,low
165,84651,False,False,False,False,high,high,low,low,high,False,False,True,high,False,low,False,low,high,high,True,False,low,False,low,False,low
166,84732,True,True,False,False,high,high,high,low,low,True,True,True,high,True,low,True,low,high,high,False,False,low,False,low,False,low
167,84751,False,False,False,False,high,low,low,low,low,False,False,True,low,False,high,False,low,high,high,False,False,low,False,low,False,low
168,85188,True,True,False,False,low,high,high,low,low,True,True,True,high,True,low,True,low,high,low,False,False,low,False,low,False,low
169,85373,True,True,False,False,low,high,high,low,low,True,True,True,high,True,low,True,low,high,high,False,False,low,False,low,False,low
170,85575,True,True,False,False,low,high,high,low,low,True,True,True,high,True,low,True,low,high,low,False,False,low,False,low,False,low
171,85699,True,True,False,False,low,high,high,low,low,True,True,True,high,True,low,True,low,high,high,False,False,low,False,low,False,low
172,86914,True,True,False,True,high,low,high,low,low,True,True,True,high,True,low,True,high,high,low,False,False,low,False,low,False,low
173,86970,True,True,False,False,low,high,high,low,low,True,True,True,high,True,low,True,low,high,low,False,True,high,False,high,False,low
174,88734,False,False,False,False,high,high,low,low,low,True,False,True,low,False,low,False,low,high,high,False,False,low,False,low,False,low
175,89030,True,True,False,False,low,high,high,low,low,True,True,True,high,True,low,True,low,high,low,False,False,low,False,low,False,low
176,90294,True,True,False,False,high,high,low,high,low,True,False,True,high,True,high,True,low,high,low,False,True,high,False,low,False,low
177,90471,False,False,False,False,high,low,low,low,high,True,False,True,low,False,low,False,low,high,low,False,False,low,False,low,False,low
178,91353,False,False,False,False,high,low,low,low,low,True,False,True,high,True,low,True,low,high,high,False,False,high,False,low,False,low
179,92028,False,False,False,False,high,high,low,low,high,False,False,True,high,False,low,False,low,high,low,False,False,low,False,low,False,low
180,93893,True,False,False,False,high,high,low,low,low,True,True,True,high,True,low,False,low,high,low,True,False,low,False,low,False,low
181,94026,False,False,False,False,high,low,low,low,low,True,False,True,high,True,low,False,high,high,low,False,False,high,False,low,False,low
182,94163,False,True,False,False,high,high,low,low,low,True,True,True,low,True,low,False,low,high,high,False,False,low,False,low,False,low
183,95539,True,True,False,False,high,low,high,low,low,True,False,True,high,True,low,False,low,high,low,False,False,high,False,low,False,low
184,95590,False,True,False,True,high,low,low,low,low,True,False,False,high,True,low,False,high,high,low,False,False,low,False,low,False,low
185,95872,False,True,False,True,high,low,low,low,low,True,False,False,high,True,low,False,high,high,low,False,False,low,False,low,False,low
186,96487,False,False,False,False,high,high,low,low,low,True,True,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
187,98001,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
188,98288,True,False,False,False,high,high,low,low,low,True,False,True,low,True,low,True,low,high,low,False,False,low,False,low,False,low
189,99644,False,False,False,True,high,high,low,low,low,True,False,True,high,False,low,True,low,high,high,False,True,low,False,low,False,low
190,99645,False,False,False,True,high,high,low,low,low,True,False,True,high,False,low,True,low,high,high,False,True,low,False,low,False,low
191,102165,False,False,False,False,high,low,low,low,low,True,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
192,102450,False,True,False,False,high,high,low,low,low,True,True,True,low,True,low,False,low,high,high,False,False,low,False,low,False,low
193,103058,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
194,104649,True,False,False,False,high,low,high,low,high,True,False,True,high,True,low,True,low,high,low,False,False,high,False,high,False,low
195,105347,True,False,False,False,high,high,low,low,high,False,False,True,high,False,low,False,low,high,low,False,False,low,False,low,False,low
196,105406,False,False,False,False,high,high,low,low,high,False,False,True,high,False,low,False,low,high,low,False,False,low,False,low,False,low
197,105985,False,False,False,False,low,low,low,high,low,False,False,True,low,False,high,False,low,high,low,False,True,low,False,low,False,low
198,107014,True,False,False,True,low,low,low,high,low,False,False,True,low,True,low,False,low,high,low,False,False,low,False,low,False,high
199,107910,False,False,False,False,high,high,high,low,low,True,False,True,high,False,low,False,low,high,low,False,False,low,False,high,False,low
200,107911,False,False,False,False,high,high,high,low,low,True,False,True,high,False,low,False,low,high,low,False,False,low,False,high,False,low
201,108304,True,False,False,True,high,high,high,low,low,True,True,True,high,True,low,True,low,high,low,True,False,high,False,high,False,low
202,108557,True,False,False,False,high,high,low,low,high,False,True,True,low,False,low,True,low,high,low,False,False,low,False,low,False,low
203,108809,True,False,False,False,high,high,low,low,high,False,True,True,low,False,low,True,low,high,low,False,False,low,False,low,False,low
204,111046,True,False,False,False,high,high,high,low,high,True,False,True,high,True,low,True,low,high,low,False,False,low,False,low,False,low
205,111047,True,False,False,False,high,high,high,low,high,True,False,True,high,True,low,True,low,high,low,False,False,low,False,low,False,low
206,111250,True,True,True,False,low,high,high,low,low,True,True,True,high,True,low,True,low,high,low,True,False,high,False,high,False,low
207,111662,True,False,False,True,high,high,high,low,low,False,False,True,low,False,low,False,low,high,low,False,False,low,False,low,False,low
208,112721,True,False,False,False,high,low,high,low,low,True,False,True,high,True,low,True,low,high,low,True,False,low,False,low,False,low
209,112899,False,False,False,False,high,high,low,low,low,True,False,True,low,False,low,False,low,high,high,False,False,low,False,low,False,high
210,113010,False,False,False,False,high,low,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,high,False,low,False,low
211,114823,True,False,False,False,high,low,high,low,low,True,False,True,high,True,low,True,low,high,low,True,False,low,False,low,False,low
212,114876,False,True,False,False,high,low,low,low,low,True,False,True,low,False,low,True,high,high,low,False,False,low,False,low,False,low
213,115995,False,False,False,False,high,high,low,low,low,True,False,True,low,False,low,True,low,high,low,False,False,low,False,low,False,low
214,117169,True,False,False,False,high,high,low,low,high,False,False,True,high,False,low,False,low,high,low,False,False,low,False,low,False,low
215,117681,True,False,False,False,high,high,high,low,low,False,False,False,high,True,low,False,low,high,low,False,False,low,False,low,False,low
216,117682,True,False,False,False,high,high,high,low,low,False,False,False,high,True,low,False,low,high,low,False,False,low,False,low,False,low
217,117714,True,False,False,True,high,high,low,low,low,False,False,True,high,False,low,False,low,high,high,False,False,low,False,low,False,low
218,117715,True,False,False,True,high,high,low,low,low,False,False,True,high,False,low,False,low,high,high,False,False,low,False,low,False,low
219,120097,True,False,False,False,high,low,low,low,low,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
220,120477,False,False,False,False,high,high,low,low,low,True,True,True,low,False,low,True,low,high,low,False,False,low,False,low,False,low
221,121236,False,False,False,False,high,high,low,low,low,False,True,False,low,False,low,False,low,high,low,False,True,low,False,low,False,low
222,121986,True,False,False,False,high,low,low,low,high,False,True,True,low,True,low,False,low,high,low,False,True,low,False,low,False,low
223,122521,True,False,False,False,high,low,high,low,low,True,False,True,high,True,low,True,low,high,low,False,True,low,False,low,False,low
224,122522,True,False,False,False,high,low,high,low,low,True,False,True,high,True,low,True,low,high,low,False,True,low,False,low,False,low
225,122523,True,False,False,False,high,low,high,low,low,True,False,True,high,True,low,True,low,high,low,False,True,low,False,low,False,low
226,122995,False,False,False,False,high,high,low,low,low,False,True,True,low,False,low,True,low,high,low,False,False,low,False,low,False,low
227,125161,False,False,False,False,high,low,low,low,low,False,False,True,high,True,low,False,low,high,low,True,False,low,False,low,False,low
228,126425,True,True,False,True,high,low,low,low,low,False,False,True,high,True,low,True,high,high,low,False,False,high,False,low,False,low
229,126857,True,False,False,False,high,low,low,low,high,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
230,127134,True,False,False,False,high,low,low,low,high,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
231,127599,False,False,False,False,high,low,low,high,low,True,False,True,low,True,low,False,low,high,low,False,False,high,False,low,False,low
