,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars
54362,57412,168348277,False,1.0,0.6,1.0,0.6190476190476191,False,True,1.0,0.0,0.9696969696969696,3.1818181818181817,False,False,3.0,False,False,False,1.0
54363,57413,168344033,False,1.0,0.6829268292682927,1.0,0.21428571428571427,True,True,2.0,0.0,1.0,1.0,False,False,0.0,False,False,False,0.0
54372,57422,168344889,False,1.0,0.4666666666666667,1.0,0.7142857142857143,False,False,1.0,0.0,1.0,1.0,False,False,2.0,False,False,False,0.0
54374,57424,168349068,False,1.0,0.8936170212765957,1.0,0.6666666666666666,True,True,30.0,0.0,0.9782608695652174,2.5434782608695654,True,False,0.0,False,False,False,0.0
54375,57425,168350759,False,1.0,0.0,1.0,0.0,True,True,2.0,0.96875,1.0,0.0,False,True,4.0,False,False,False,0.0
54379,57429,168344815,False,0.9922078485176021,0.6133333333333333,1.0,0.3695652173913043,True,True,2.0,0.013333333333333334,0.9583333333333334,6.013888888888888,False,False,14.0,False,False,False,0.0
54380,57430,168349492,False,1.0,0.6111111111111112,1.0,0.6363636363636364,False,True,1.0,0.0,1.0,1.3125,False,False,0.0,False,False,False,0.0
54381,57431,168346646,False,0.982702371307832,0.0,1.0,0.0,True,True,1.0,1.0,1.0,0.0,False,False,0.0,False,False,False,0.0
54389,57440,168345749,False,0.6175331178029855,0.5789473684210527,1.0,0.2727272727272727,True,True,1.0,0.0,1.0,1.0,False,False,5.0,False,False,False,0.0
54395,57446,168349164,False,1.0,0.7142857142857143,1.0,0.3333333333333333,True,True,1.0,0.0,1.0,1.3157894736842106,False,False,3.0,False,False,False,0.0
54397,57448,168345075,False,1.0,0.4893617021276596,1.0,0.6956521739130435,False,True,1.0,0.0,1.0,1.1555555555555554,False,False,1.0,False,False,False,0.0
54399,57450,168345050,False,1.0,0.6339285714285714,1.0,0.4225352112676056,True,True,1.0,0.0,1.0,1.068627450980392,True,True,2.0,False,False,False,0.0
54403,57454,168346059,False,1.0,0.38461538461538464,1.0,0.0,False,True,1.0,0.0,1.0,1.0,False,True,3.0,False,False,False,0.0
